;def;genes;proportion;significant_area;#_cases;#_controls;pvalue_proportion;pvalue_significant_area;fdr_sig_area;fdr_proportion
125;SNV;XKR4;0.3191;0.3183;52;419;0.00199471297585752;0.00581169079440274;0.0350729901210848;0.0113508666959511
37;SNV;KIAA1109;0.3195;0.3181;73;398;0.00195925617349813;0.0058415921729881;0.0350729901210848;0.0112797895062345
908;SNV;WWC3;0.3239;0.3181;30;441;0.00160683564801328;0.0058415921729881;0.0350729901210848;0.0109006248724322
1979;SNV;FER;0.3161;0.3181;22;449;0.00228078557898458;0.0058415921729881;0.0350729901210848;0.0119541173986253
511;SNV;DAAM2;0.3275;0.3179;35;436;0.00136433357560186;0.0058716350380932;0.0350729901210848;0.0106560694303544
698;SNV;PCDH19;0.3208;0.3179;32;439;0.00184812013645328;0.0058716350380932;0.0350729901210848;0.0110767654692386
978;SNV;PLXNB1;0.3301;0.3179;29;442;0.00121138558149605;0.0058716350380932;0.0350729901210848;0.0101944068301957
319;SNV;IGSF9B;0.3147;0.3178;41;430;0.00242725522281888;0.00588670971686588;0.0350729901210848;0.0121681059073388
494;SNV;TRIOBP;0.3351;0.3177;36;435;0.000962122341375249;0.00590181999408006;0.0350729901210848;0.00940738201482087
39;SNV;FLRT2;0.322;0.3176;71;400;0.00175088526279844;0.00591696594563305;0.0350729901210848;0.0109258897600216
182;SNV;VWF;0.3239;0.3176;48;423;0.00160683564801328;0.00591696594563305;0.0350729901210848;0.0109006248724322
283;SNV;THSD7B;0.3184;0.3176;43;428;0.00205823680719285;0.00591696594563305;0.0350729901210848;0.011493425161661
888;SNV;ROBO3;0.3266;0.3175;30;441;0.00142145259250063;0.00593214764756335;0.0350729901210848;0.0107289019886641
2208;SNV;ITGB2;0.325;0.3174;21;450;0.00152868208866;0.00594736517605086;0.0350729901210848;0.010809320094371
936;SNV;DICER1;0.3152;0.3171;29;442;0.00237394772457018;0.00599323348478208;0.0350729901210848;0.0120717767270697
1308;SNV;LHX9;0.322;0.3171;26;445;0.00175088526279844;0.00599323348478208;0.0350729901210848;0.0109258897600216
1785;SNV;FBXO10;0.3112;0.317;23;448;0.00283349973463442;0.00600859508413389;0.0350729901210848;0.0125874802337849
